name,method,lm_model_path,libri_wer,libri_cer,earnings_wer,earnings_cer
Greedy,greedy,,0.11219750672207285,0.038127997674531275,0.5496987951807228,0.25578503460207613
Beam,beam,,0.1107308726472745,0.03769197228816433,0.5493975903614458,0.2538386678200692
SF-3gram,beam_lm,lm/3-gram.pruned.1e-7.arpa.gz,0.10975311659740894,0.03740128869725304,0.5557228915662651,0.2547037197231834
RS-3gram,beam_lm_rescore,lm/3-gram.pruned.1e-7.arpa.gz,0.10999755560987534,0.037449735962404924,0.5533132530120481,0.2538386678200692
