name,method,lm_model_path,libri_wer,libri_cer,earnings_wer,earnings_cer
SF-LibriLM,beam_lm,lm/3-gram.pruned.1e-7.arpa.gz,0.10975311659740894,0.03740128869725304,0.5557228915662651,0.2547037197231834
RS-LibriLM,beam_lm_rescore,lm/3-gram.pruned.1e-7.arpa.gz,0.10999755560987534,0.03740128869725304,0.5533132530120481,0.2538386678200692
SF-FinLM,beam_lm,lm/financial-3gram.arpa.gz,0.12466389635785871,0.04006588828060656,0.5123493975903615,0.2583801903114187
RS-FinLM,beam_lm_rescore,lm/financial-3gram.arpa.gz,0.12344170129552677,0.03929073203817644,0.528012048192771,0.25021626297577854
